"","brand1","score","brand2","score2","brand3"
"1","Audi",7.92259824735002,"BMW",7.9080004366591,"Volkswagen"
"2","BMW",7.19925290260318,"Mercedes-Benz",6.4665990924083,"Audi"
"3","Chevrolet",8.5103587186797,"Ford",7.48207053569807,"Toyota"
"4","Dodge",5.96719076825095,"Ford",5.70527563786182,"Jeep"
"5","Ferrari",7.0804646748223,"Mercedes-Benz",6.25547735460569,"Renault"
"6","Ford",6.83859812753073,"Chevrolet",6.82684936247497,"Honda"
"7","Honda",8.12303108237043,"Toyota",7.08544451239506,"BMW"
"8","Hyundai",8.44498747488189,"Toyota",7.69968018525886,"Ford"
"9","Jeep",7.53533697966109,"Dodge",7.38870166071237,"Chevrolet"
"10","Lamborghini",8.3304243837232,"Ferrari",6.98907715464726,"Porsche"
"11","Lexus",8.07413219543894,"BMW",7.715518487228,"Toyota"
"12","Mazda",8.06430351908364,"Toyota",7.78194699240178,"Ford"
"13","Mercedes-Benz",7.65500589605384,"BMW",6.9020369579153,"Volkswagen"
"14","Nissan",8.24335466398757,"Toyota",7.61124326815965,"Tesla"
"15","Porsche",7.8145210889651,"Ferrari",7.58526201843235,"BMW"
"16","Renault",8.46550473911171,"Ferrari",7.84190843090799,"Mercedes-Benz"
"17","Subaru",3.06151014247022,"Honda",2.99657873587348,"Toyota"
"18","Tesla",5.92954895183735,"Ford",5.82508730610537,"Nissan"
"19","Toyota",8.12280319481291,"Ford",7.80354311337183,"Honda"
"20","Volkswagen",7.27535818288192,"Audi",7.21031277045588,"Toyota"
"21","Volvo",7.77701435902023,"Tesla",7.41070624656467,"BMW"
