,The car brand BMW,The car brand Mercedes-Benz,The car brand Ford,The car brand Hyundai,The car brand Kia,The car brand Ram,The car brand Subaru,The car brand Jeep,The car brand Toyota,The car brand Chevrolet,The car brand Honda,The car brand Audi,The car brand Lexus,The car brand Tesla,The car brand GMC
BMW,66,2,2,2,0,0,0,2,2,0,1,3,9,3,1
Mercedes-Benz,6,54,2,3,1,0,0,1,1,1,2,4,3,0,4
Ford,1,1,73,3,2,2,1,4,2,6,2,1,3,1,2
Hyundai,0,0,1,61,1,0,0,1,0,0,0,0,0,0,0
Kia,0,1,0,9,72,2,1,0,0,0,0,0,0,0,0
Ram,0,0,0,0,0,61,0,2,0,0,0,0,0,0,0
Subaru,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0
Jeep,0,0,0,0,0,1,0,70,0,0,0,0,0,0,1
Toyota,2,3,4,2,1,2,5,2,70,1,5,0,8,2,2
Chevrolet,0,1,1,0,2,2,0,1,3,54,1,0,0,1,32
Honda,0,0,2,3,2,0,2,0,2,0,64,0,1,0,0
Audi,1,1,1,1,0,0,0,0,0,1,0,60,0,0,0
Lexus,1,0,0,0,0,0,0,0,2,0,0,0,67,0,0
Tesla,5,6,1,3,7,2,0,1,4,9,1,1,2,69,4
GMC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41
