Unnamed: 0.1,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,4,0,-1,0,0,-1,-1,-4,0,-1,0,1,-2,0,0,0,1,-1,2,0,0
Subaru,0,2,0,0,-2,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1,0
Dodge,1,-8,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tesla,-1,0,0,-2,0,-1,2,-3,-3,-1,-1,-2,1,-1,-1,3,-1,-2,0,2,-8
Toyota,-5,0,2,-1,-3,7,-2,-3,9,0,-1,0,-3,1,0,2,1,0,0,6,-2
Honda,-1,0,0,0,-5,-1,4,-5,-6,7,-2,1,0,1,-2,-2,0,-3,1,1,3
Nissan,-1,0,1,-1,0,1,-5,0,0,-2,-6,-2,1,1,-1,4,-1,0,0,0,0
Chevrolet,1,0,0,-1,-1,1,2,-4,1,0,0,1,0,0,0,0,0,0,0,-1,0
Hyundai,-1,0,1,-1,-1,-1,-1,-1,-3,3,-1,0,0,0,0,1,1,0,0,0,0
Mazda,0,0,1,0,-1,0,-1,-2,1,4,0,0,0,1,0,1,-1,0,0,1,0
Renault,0,0,0,0,1,1,-1,0,0,0,12,-1,1,0,0,0,0,0,-2,-1,-2
Lamborghini,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,-1,0,-1,0,0
Mercedes-Benz,0,0,0,3,3,-1,0,0,3,-1,0,8,3,1,0,1,0,-1,5,-3,4
BMW,0,0,0,1,-1,-4,2,-1,1,-2,-7,2,4,-2,-2,-9,-1,-2,2,-1,2
Ford,0,0,0,0,-3,2,4,-2,1,0,0,-1,1,0,3,2,0,-2,0,4,3
Porsche,1,0,0,0,1,1,1,0,1,-2,-1,1,-2,-2,1,-5,2,1,1,-1,-1
Audi,1,0,0,1,0,0,0,1,1,-1,-1,1,2,5,0,-2,-7,4,1,-1,2
Volkswagen,0,0,0,0,5,2,5,0,2,-2,-1,0,1,-2,1,-5,-2,-4,0,0,0
Ferrari,0,0,0,0,0,0,0,0,-1,0,3,7,0,0,-2,6,-1,-1,2,0,0
Lexus,0,0,0,0,-3,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,-4,0
Volvo,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-6
