,Unnamed: 0,Unnamed: 0.1,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,0,Jeep,5606,0,92,23,120,28,41,366,81,236,39,50,61,31,86,46,92,137,108,23,57
1,1,Subaru,13,4091,1,2,24,10,46,16,9,55,6,5,5,9,9,6,16,9,2,100,26
2,2,Dodge,270,0,5488,0,6,7,5,105,8,11,4,5,8,10,45,4,11,7,3,11,15
3,3,Tesla,42,0,4,5940,627,196,765,491,510,232,34,77,252,149,221,172,254,290,44,222,903
4,4,Toyota,352,9,35,131,5357,1595,1799,840,2201,1504,279,44,457,235,317,172,465,640,47,1061,653
5,5,Honda,177,8,36,57,962,5932,690,400,799,894,834,211,123,206,362,103,386,167,197,536,465
6,6,Nissan,116,2,6,118,480,404,5504,307,232,246,816,35,82,103,168,59,148,89,30,490,215
7,7,Chevrolet,522,0,84,60,296,133,259,4562,111,143,33,51,70,57,301,52,125,102,13,114,327
8,8,Hyundai,77,0,13,16,94,114,141,86,5306,124,19,5,25,28,21,9,29,43,3,51,82
9,9,Mazda,11,3,14,4,93,116,73,101,61,4974,14,23,20,38,104,30,74,43,11,213,35
10,10,Renault,2,0,0,1,17,8,81,9,15,7,4093,7,37,39,8,23,51,34,112,45,96
11,11,Lamborghini,5,1,11,3,3,5,10,5,2,6,61,6008,27,26,25,110,27,4,81,31,8
12,12,Mercedes-Benz,49,1,38,116,183,209,260,188,144,250,1731,526,5449,910,233,542,728,204,808,1067,354
13,13,BMW,81,0,22,118,277,772,730,202,298,992,500,515,1365,5574,256,1273,1784,272,275,2076,1069
14,14,Ford,850,4,216,208,1869,473,606,2754,1224,1329,126,96,315,167,3946,541,373,683,53,260,837
15,15,Porsche,40,0,61,12,27,32,138,48,27,92,181,537,261,270,175,5050,268,365,211,291,90
16,16,Audi,20,0,5,17,51,33,99,35,65,71,274,425,463,340,67,456,4864,764,108,474,182
17,17,Volkswagen,77,0,6,34,685,123,576,239,528,484,61,31,474,185,123,607,1297,4865,18,112,277
18,18,Ferrari,5,0,32,5,14,33,93,17,34,27,2263,1977,335,119,236,1180,111,22,5832,90,13
19,19,Lexus,6,1,5,7,195,26,41,44,62,30,14,16,47,21,15,10,28,20,3,2066,20
20,20,Volvo,14,0,0,13,15,10,21,13,42,9,7,3,18,14,8,6,28,22,1,8,4592
