Unnamed: 0.1.1,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
Jeep,-8,0,-4,2,-3,-1,-4,-3,2,-2,3,3,-3,0,1,0,-6,-8,1,0,-3
Subaru,1,0,-1,-1,-1,-1,-2,1,0,-3,0,0,0,-1,0,0,-1,-1,0,4,2
Dodge,-2,-84,-36,0,-1,2,-1,-2,0,1,0,0,0,2,3,1,1,-4,0,1,-1
Tesla,1,0,0,-8,1,-3,-2,-1,-8,-1,1,-5,9,-3,2,5,2,-14,-2,-2,-7
Toyota,2,1,4,0,-1,-17,5,-4,1,5,1,2,-4,0,-4,-1,10,-11,1,11,13
Honda,2,-4,5,2,7,1,12,-5,-4,18,-3,3,2,-3,6,-1,-7,-6,-12,3,-7
Nissan,-1,1,0,-5,2,-3,-17,-2,-3,2,-6,-3,4,-1,7,2,-5,-2,-2,-7,-12
Chevrolet,7,0,2,0,5,3,-1,2,1,0,1,0,1,-1,1,-4,5,-5,-2,-2,12
Hyundai,0,0,0,-3,-7,0,-13,1,-7,4,-3,-1,0,1,1,1,1,3,0,3,-5
Mazda,0,0,1,1,0,-2,0,-5,0,6,0,1,-2,2,-1,2,-1,1,2,-4,1
Renault,1,0,0,-1,2,2,0,1,1,0,-10,-1,1,-1,0,-3,-1,0,-1,-5,-2
Lamborghini,0,1,-1,1,0,0,0,-1,1,-1,-2,4,1,-2,-1,5,0,-1,5,6,0
Mercedes-Benz,1,0,0,1,-7,4,-6,-2,3,4,3,16,5,-7,4,-16,-3,-5,9,13,-2
BMW,1,0,1,-5,-13,4,9,0,-1,3,0,12,15,3,6,-7,-2,-8,7,-3,-8
Ford,-5,2,-8,-3,2,10,-6,-1,-1,-13,2,-6,4,-2,3,-9,4,-13,3,-11,7
Porsche,3,0,-2,1,-1,-1,2,0,3,-3,7,-16,-13,-2,-1,-23,4,4,8,-3,-2
Audi,0,0,0,0,-3,1,2,-1,0,-2,3,9,-2,1,-5,9,-9,13,4,3,-1
Volkswagen,6,0,0,-1,-15,5,10,-4,2,-3,0,4,1,7,1,-14,-3,7,-2,-5,-4
Ferrari,2,0,-1,0,0,-1,-2,-1,2,2,6,-8,6,-6,-14,28,0,-1,-7,3,0
Lexus,1,0,-1,1,1,-2,-1,0,5,0,2,2,0,-2,1,-1,0,0,0,-9,2
Volvo,-1,0,0,-1,1,0,0,0,-2,0,0,0,-4,3,0,0,-1,1,0,-1,-13
