,Unnamed: 0,Jeep is similar to,Subaru is similar to,Dodge is similar to,Tesla is similar to,Toyota is similar to,Honda is similar to,Nissan is similar to,Chevrolet is similar to,Hyundai is similar to,Mazda is similar to,Renault is similar to,Lamborghini is similar to,Mercedes-Benz is similar to,BMW is similar to,Ford is similar to,Porsche is similar to,Audi is similar to,Volkswagen is similar to,Ferrari is similar to,Lexus is similar to,Volvo is similar to
0,Jeep,816,0,10,5,17,3,6,54,17,27,11,6,9,4,9,3,6,26,12,2,5
1,Subaru,1,599,0,0,5,2,9,2,2,7,1,0,0,4,1,0,4,1,1,11,1
2,Dodge,42,0,797,0,2,1,0,14,0,1,1,1,1,1,6,0,1,1,0,1,2
3,Tesla,5,0,0,850,97,29,103,63,76,35,8,13,36,21,27,22,31,56,8,40,121
4,Toyota,45,2,7,16,758,223,260,117,335,210,43,8,63,25,37,26,65,89,3,157,102
5,Honda,28,2,3,4,127,861,103,66,121,127,129,40,18,23,54,11,45,32,32,79,64
6,Nissan,18,0,1,15,83,55,794,37,37,32,124,5,7,15,24,7,28,17,5,69,27
7,Chevrolet,74,0,8,9,40,18,52,645,16,14,6,8,8,7,65,5,16,15,1,16,37
8,Hyundai,5,0,3,0,16,16,25,8,752,23,1,2,4,1,2,1,5,9,1,6,10
9,Mazda,3,0,1,0,13,21,10,17,11,727,5,4,3,4,16,6,8,6,3,28,6
10,Renault,0,0,0,0,1,0,6,3,1,0,588,1,4,5,1,3,11,5,9,3,14
11,Lamborghini,1,0,2,2,0,0,1,0,1,0,5,863,4,2,5,16,6,1,5,2,2
12,Mercedes-Benz,4,0,5,12,28,28,41,31,25,38,259,71,778,119,39,63,104,35,114,165,52
13,BMW,13,0,3,14,43,104,121,29,42,163,77,68,202,793,46,210,277,44,42,298,153
14,Ford,123,0,36,42,281,57,99,385,186,178,20,13,47,28,573,89,64,97,6,40,108
15,Porsche,5,0,6,1,2,4,25,7,3,14,28,79,40,38,30,756,45,59,25,37,9
16,Audi,3,0,1,0,6,6,13,6,10,9,40,56,70,48,13,59,733,108,15,61,28
17,Volkswagen,7,0,0,5,88,20,79,29,84,59,8,5,76,26,21,92,205,689,2,10,48
18,Ferrari,0,0,5,3,3,6,10,2,5,4,319,282,49,20,30,166,12,3,846,12,0
19,Lexus,0,0,0,0,30,6,8,6,13,3,3,0,5,1,1,2,5,4,2,268,2
20,Volvo,2,0,0,1,3,0,2,3,6,2,2,0,1,1,0,0,7,1,0,2,669
